feature,count,missing_count,missing_pct,mean,median,std,min,q1,q3,max,p95,p99,skewness,kurtosis,zero_count,negative_count,iqr,outlier_lower,outlier_upper,outlier_count,outlier_pct
lead_time,119390,0,0.0,104.01141636652986,69.0,106.86309704798794,0.0,18.0,160.0,737.0,320.0,444.0,1.3465498727254264,1.696448848558545,6345,0,142.0,-195.0,373.0,3005,2.5169612195326243
adr,119390,0,0.0,101.83112153446687,94.575,50.53579028554871,-6.38,69.29,126.0,5400.0,193.5,252.0,10.53021398218952,1013.1898508588172,1959,1,56.709999999999994,-15.774999999999991,211.065,3793,3.176982996900913
